,titles,area,city,company,job_type,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,urls,job_description,job_requirements
0,Mid Senior Data Analyst,Maadi,Cairo,Worex,Full Time,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Data Analysis | Data Analyst | Information Technology (IT) | Big Data | Administration | Business Administration,https://wuzzuf.net/jobs/p/0T6a4KDMsFNn-Mid-Senior-Data-Analyst-Worex-Cairo-Egypt?o=1&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Track, collect, and interpret data, then analyze results using statistical techniques | Deliver dashboards, analytics & Reports migrations | Identify, analyze and interpret trends or patterns in complex data set | Provide insights and make recommendations based on data analysis | Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business | Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format | Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights","3+ years in a data analyst role at least | Perfect in using Excel Power Query, Microsoft Power BI, Odoo CRM, and Oracle CRM ( Eloqua, Right Now … etc) | Expert-level proficiency with Excel and PowerPoint | Experience with Google Analytics and Data Visualization tools | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives | Collaborative in nature with a passion for developing relationships | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment | Bachelor’s Degree in Business Administration or Business Informatics is a plus"
1,Junior Data Analyst,Maadi,Cairo,Worex,Full Time,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | Data Analyst | Data Analysis | Information Technology (IT) | Analysis,https://wuzzuf.net/jobs/p/iq5jLz08Y7Fb-Junior-Data-Analyst-Worex-Cairo-Egypt?o=2&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Deliver dashboards, analytics & Reports migrations | Interpret data, analyze trends, draw conclusions and communicate insights | Contribute to the development of data analysis processes, reporting processes and analytics dashboards | Work with the Product team and other key stakeholders to priorities business needs | Locate and define new process improvement opportunities
","Demonstrated experience as a Data Analyst in a similar role | Degree in Business, Engineering or a quantitative field | Excellent Excel, SQL, and data visualization skills are required | Programming languages as R & Python are a plus | Experience working with complex data-warehouse infrastructure & large datasets are a plus | Ability to analyze complex problems and conceptualize actionable solutions with minimal supervision | Strong interpersonal skills to communicate well with people from different departments | Knowledgeable in process mapping and process improvement"
2,Senior Data Analyst - Business Intelligence,Maadi,Cairo,Confidential,Full Time,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 12000 EGP Per Month,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analyst | Business Administration | business | BI | Project Management | Data Analyst | Information Technology (IT) | Data Analysis,https://wuzzuf.net/jobs/p/FdG6WamryKOU-Senior-Data-Analyst---Business-Intelligence-Cairo-Egypt?o=3&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Track, collect, and interpret data, then analyze results using statistical techniques | Conduct training to new users of the company's new CRM users | Identify, analyze and interpret trends or patterns in complex data set | Provide insights and make recommendations based on data analysis | Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business | Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format | Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights | Acquire data from Zoho CRM ,Office 365 SharePoint, Social Media Platforms, | Apply Data Cleaning Techniques for historical data | Interpret data & analyze results to provide ongoing reports and dashboards on Oracle CRM and Microsoft Power BI | Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them | Build company balance scorecard model using Microsoft Power BI | Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.
","3+ years in a data analyst role at least | Perfect in using Excel Power Query, Microsoft Power BI, Odoo CRM, and Oracle CRM ( Eloqua, Right Now … etc) | Expert-level proficiency with Excel and PowerPoint. Experience with Social Media Dashboards, Google Analytics, and Data Visualization tools | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Solid understanding of core social channels; LinkedIn, Facebook, Twitter, Instagram, YouTube, along with their corresponding data sets and common KPIs | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives | Collaborative in nature with a passion for developing relationships | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment | Bachelor’s Degree in Business Administration or Business Informatics is a plus"
3,E-Commerce & Marketing Data Analyst,New Cairo,Cairo,Confidential,Full Time,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising | Analyst/Research | Media/Journalism/Publishing,Market Research | Data Analysis | Analysis | Marketing | E-Marketing | Social Media | E-Commerce | Data Analyst | Data | Commerce | Analyst,https://wuzzuf.net/jobs/p/jzNIjX873nvy-E-Commerce-Marketing-Data-Analyst-Cairo-Egypt?o=4&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Reviewing and collecting information from secondary sources | Conducting research on various industries and product portfolios | Collect and analyze data on consumer behavior, competitive landscape and local market | Interpret and forecast market trends in various industries | Conducting interviews with key stakeholders, including: Customers, suppliers, distributers, government associations etc | Ability to articulate different business issues and concisely analyze and communicated key issued/insights both written and verbally | Analyzing quantitative (MS-Excel) and qualitative information | Hypothesis testing",3-6 years of Experience
4,Data Analyst,New Cairo,Cairo,Arma Foods,Full Time,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Analyst/Research,Data Analysis | Analysis | Computer Science | Information Technology (IT) | Reporting | Power BI | IT | analytical | Data | Engineering | English | Python | SQL | Tableau,https://wuzzuf.net/jobs/p/3ZTNoLhqBc6T-Data-Analyst-Arma-Foods-Cairo-Egypt?o=5&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Develop the data analytics methods to collect relevant data from different sources in order to meet the needs of business growth | Analyze and solve consumers’ queries by providing information on complex processes and the related policies, referring to others where necessary for interpretation of data | Translate business questions into learning plans and then develop and conduct research studies to collect data to develop insights | Make sure that there is effective communication of market and consumer data | Communicate findings, through data visualization, with concerned business teams to develop decision-making based on the data and insights available | Deal with departments’ leaders to identify opportunities & strengths for better process improvements, recommend system modifications, and develop policies | Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts | Prepare reports for stakeholders to help them make the right decisions and solve big issues in the right way","Degree in Business, Technology, Engineering, or a related field | 3 to 5 years of experience in business analysis & data analysis | Excellent Command of English | Experience in using SAP system is a must | Good Knowledge at Sales BUZZ | IT background | High Command of report generating software like Power BI, Tableau or SSRS | Good Knowledge of analytic/programming languages like SQL, Python or R | Experience with Business Process& Task Management tools e.g., Click Up, Trello, Monday...etc | Excellent analytical & reporting skills"
5,Data Analyst| MIS,Maadi,Cairo,GlobeMed Egypt,Full Time,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research,MIS | Data Analytics | SAS | SQL | Tableau | Analysis | Database | Information Technology (IT) | Computer Science | Data Analysis | Telecom Engineering | DevOps | BI,https://wuzzuf.net/jobs/p/UZjhvK3rVYOC-Data-Analyst-MIS-GlobeMed-Egypt-Cairo-Egypt?o=6&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Understanding business requirements and plan solutions to address data needs | Develop, design, maintain, test, and publish Tableau dashboards and analytics, and schedule refresh | Collect, refine, and prepare data from various data sources for analytics and visualization | Manage and utilize the Tableau platform to extract meaningful insights from it | Manage Tableau-driven implementations, architecture, and administration | Partner with IT teams and business professionals to establish data-driven policies and strategies across the organization | Drill-down data and prepare reports with utmost accuracy using various visualization and data modeling methods | Define access controls and implement security measures whenever required | Improve overall process in data management, collection, dashboard design, and entire product life-cycle | Solving any data or performance issues related to workbooks and data sources | Monitoring reports and dashboards and making necessary changes | Actively manage the performance and usability of Tableau to get the desired result","Bachelor’s degree in Computer Science, Management Information Systems, Mathematics or related field – Masters is a plus | 2 to 5 years of experience in data analysis – preferable in the health insurance sector | Certification in SAS or Tableau is preferable | Sound knowledge and experience in SAS programming, Microsoft Excel and SQL | Proficiency in analytics and database querying tools | Extensive experience in developing and managing dashboards and reports in Tableau | Excellent analytical skills to forecast and predict trends and insights using past and current data | Knowledge of data architecture, data modeling, data mapping, data analysis, and data visualization | Able to manipulate and blend data in order to design dashboards and visualization | Knowledge of data migration, BI tools integration, and extensions | Knowledge of code integration and languages like R and Python | Understanding of data security and its implementation | Knowledge of DevOps and basic project development lifecycle | Required soft skills:
Analytical Mindset
Strong written and verbal communication skills
Knowledge of design principles and quality processes
Understand and transform client expectations into technical requirements"
6,Data Analyst,Sheikh Zayed,Giza,Spark Systems,Full Time,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analysis | business | BI | Computer Science | Power BI | Software | Reporting | Python | Information Technology (IT) | Data Analysis | SQL,https://wuzzuf.net/jobs/p/1vD8UNEXx8ia-Data-Analyst-Spark-Systems-Giza-Egypt?o=7&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Work with executives and other business leaders to identify opportunities for improvement | Create reports for internal teams and/or external Clients | Collobrate with team members to collect and analyze data use graphs, infographics and other methods to visualize data | Structure large data sets to find usable information | Work with a team of analyst and other associates to process information | Create presentation and reports based on recommendations and findings","He should be graduated from computer science or equal | Strong knowledge of and experience with reporting packages( business objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) | Coding skills in languages such as python | Analytical and problem-solving skills | Ability to set and meet deadlines | Experience with statistical software such as power BI | Strong analytical skills with the ability to collect ,organize, analyze and disseminate significant amounts of information with attention to detail and accuracy"
7,Data Analyst,Nozha,Cairo,GPS,Full Time,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Analysis | Data Analysis | Reporting | Computer Science | English | MS Office | Information Technology (IT),https://wuzzuf.net/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=8&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Utilizing BI tools to deliver meaningful insights into business performance | Must be advanced BI tools & Excel user | Establish the data analytics methods and organize collecting data in order to meet the needs of business | Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts | Develop daily, Weekly and Monthly reports supporting functions and needs of sales and marketing departments | Perform data cleansing/de-duplication/merging/calculation/analysis | Deal with departments’ leaders to identify opportunities & strengths for better process improvements and recommend system modifications | Work on Monthly basis operational statistics as requested, key findings, insights and recommendations to respective counterparts and plays an active role in analysing commercial data",Three to five Years’ experience | Excellent analytical & reporting skills | Excellent in English | Time-management skills
8,Business Data Analyst,Smart Village,Giza,Fawry Plus,Full Time,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Analyst/Research,business | Analyst | Business Analysis | Data Analyst | Analysis | Data Analysis | English | Information Technology (IT) | Computer Science | analytical | Dashboards | reports | Data | Communication,https://wuzzuf.net/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=9&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Using specialist tools to generate information that helps others make decisions | Responding to data-related queries and keeping track of these | Analyzing data to identify trends | Setting up processes and systems to make working with data more efficient | Presenting information generated from data to the management | Focus specifically on furthering key business goals.
",Analytical Thinking | Data cleaning and preparation | Data analysis and exploration | Statistical knowledge | Creating dashboards and reports | Interpersonal Skills | Good Command in English
9,Senior Digital Data Analyst (Remote Job),New Cairo,Cairo,Mindfield,Full Time | Work From Home,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art | Marketing/PR/Advertising,Social Media | Digital Marketing | Data Analysis | Planning | Marketing | Google Analytics | Computer Science | Business Administration | Analysis | analytical | business,https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=10&l=sp&t=sj&a=Data-Analyst|search-v3|navbg,"Develop and maintain analytics tools to ensure tracking, reporting and analytics are functioning optimally | Develop approaches to analyze self-service customer behavior to include patching, customer profiling, browsing behavior, customer segmentation; Analyze and report on measured results to potentially improve channel usability, containment, success rates and overall Digital channel performance | Help to create and prepare requirements for ad hoc reports and trend analysis on digital channels that assists in the identification of irregularities or creates opportunities for improved sales | Identify and troubleshoot data anomalies and irregularities as necessary | Provide guidance to digital channel owners and stakeholders in the use of assigned metrics applications including terminology standardization, training, user support, and the impact of user behavior on key conversion and revenue factors. Proposes expanded or improved uses of application capabilities | Prepare and presents value added analytical reports to department and/or senior management | Develop and build business reporting environments inclusive of data, technical routines, and data visualization | Definition and development of metrics to measure performance | Help and Assist client servicing personnel, and digital teams to achieve better results through insights | Help on new pitches by collecting and analyzing data insights to propose strategic directions | Build all digital reports on client digital channels, and come up with learnings and recommendations | Ensure teams apply recommendations and raise flags when it is not the case | Participate in Brainstorming sessions with team members","A Bachelor’s degree in Marketing, Computer Science, Communications, or Business Administration is preferred | 3+ years of experience in Marketing, Social Media | Proven work experience with social media platforms and digital marketing campaigns | Knowledge of all social media metrics including sentiment | Knowledge of keyword research, SEO and Google Analytics | Proficiency in working with social media management tools | Proven experience with website analysis using various analytical tools | Ability to identify target audience preferences and trends | The ability to analyze digital data | Strong communication, time management, and multitasking skills | Additional qualifications in digital technologies or social media management is a plus"
