Title,Job_Type,Company,Area,City,Experience,Career_Level,Education_Level,Salary,Job_Categories,Skills_and_Tools,Job_Description,Job_Requirements
Data Analyst,Full Time,Lecico Egypt,"
Alexandria", Egypt,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research,Analysis | Data Analyst | Data Analysis | Analyst | English,"Developing and maintaining databases, data systems - reorganizing data in a readable format | Performing analysis to assess quality and meaning of data | Filter data by reviewing reports and performance indicators to identify and correct code problems | Prepare sales trackers for distributors and products daily | Prepare some data about stocks to help in giving ideas | Analyzing local, national, and global trends that impact both the organization and industry | Preparing reports for management stating trends, patterns, and predictions using relevant data","Bachelor Degree in any related field | An analytical mindset with problem-solving skills | Proficient in MS Office (Excel, Access, Word, PowerPoint etc.) | Presentation skills | Analytical Skills | 2+ working experience as a data analyst | Attention to details | Fluent in English"
Data Analyst Reporting - Junior & Senior (Multinational Company),Full Time,Hala Consulting,"
New Cairo", Cairo,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,analytical | Data Analysis | Information Technology (IT) | Computer Science | Python | Analysis | Analyst | Data Analyst | Engineering | Tableau,"Own all reporting and insight for the business - build reports and dashboards, conduct ad-hoc analysis and be the go-to individual on the team for anything related to insights | Build processes to capture, gather and organize reporting requests in an effective way
• Identifying patterns and trends: analyzing and interpreting the results to assist teams within the business on requests made | Assisting in the coordination of ad hoc and scheduled business reports ensuring their successful creation and timely delivery through Tableau / Quick sight | Trouble systems’ data issues: able to investigate in a structured manner and perform root cause analysis on data issues and recommend data quality controls to resolve gaps/issues in collaboration with the data team | Champion data driven decision making by utilizing models, complex queries, and challenging assumption | Partner with marketing, Product and Commercial teams to review and support the delivery of the overall business strategy","The ideal candidate will have outstanding communication skills, and proven experience as a data analyst with ability to interpret complex data with an eye for detail and make concise recommendations. He/she will be a self-starter, comfortable with ambiguity and will enjoy working in a fast-paced dynamic environment.

Other qualifications include: | Advanced Degree in quantitative analytics field (e.g. quantitative sciences, engineering, IT or MBA) preferred | 3+ years of experience with analytic techniques, statistical modelling, and web analytics | Strong numerical and analytical skills. Comfortable with at least one coding language - Python is preferred | Strong data visualization skills. Comfortable with at least one data dashboard tool (Tableau, Looker, Quicksight etc.) | Ability to extract meaningful information from data and suggest action for improvement | Strong written and verbal communication skills | Ability to manage multiple tasks and priorities at once | Ability to perform well in a fast-paced, cross-functional, dynamic, and ambiguous start-up environment"
Senior Data Analyst,Full Time,Z2 Data,"
Nasr City", Cairo,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research,Data Analysis | Analysis | Administration | Computer Science | Data Analyst | Database | Data | Analyst | Information Technology (IT) | Management,"Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data | Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects | Establish rules and procedures for data sharing with upper management, external stakeholders etc | Support others in the daily use of data systems and ensure adherence to legal and company standards | Assist with reports and data extraction when needed | Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.) | Ensure digital databases and archives are protected from security breaches and data losses | Troubleshoot data-related problems and authorize maintenance or modifications | We are looking for an experienced Senior Data Analyst to oversee the development and use of data systems | You will discover efficient ways to organize, store and analyze data with attention to security and confidentiality | You should be able to fully grasp the complexity of data management | The ideal candidate will have a strong understanding of databases and data analysis procedures | You will also be tech-savvy and possess excellent troubleshooting skills | The goal is to ensure that information flows timely and securely to and from the organization as well as within","Proven experience as Senior Data Analyst minimum 2 years | Excellent understanding of data administration and management functions (collection, analysis, distribution etc.) | Familiarity with modern database and information system technologies | Proficient in MS Office (Excel, Access, Word, PowerPoint etc.) | An analytical mindset with problem-solving skills | Excellent communication and collaboration skills"
Data Analyst - Quality Assurance Department,Full Time,IdealRatings,"
Heliopolis", Cairo,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Accounting/Finance | Quality | Analyst/Research,Finance | Quality Assurance | Economic Statistics | Skills | Detail Oriented | QA | English | Communication skills | Quality Control | MS | Accounting | Communication | Analysis | Computer Science | Data Analysis | Economics | Information Technology (IT),"Assist in ensuring the quality of large dataset | Run analysis to identify the weaknesses of the tested data | Execute automated and unautomated test cases, analyze the results, and share the findings | Clearly communicate details of issues, severity, and priority","0-2 years of experience | Bachelor’s degree in Business, Finance, Accounting or Economics | High researching skills | Effective problem solving and strong analytical skills | Detail-oriented | Dedicated to creativity | Capable of handling multiple tasks simultaneously | Excellent command of English | Excellent communication skills | Excellent knowledge of MS Excel"
Senior Financial Data Analyst,Full Time,Z2 Data,"
Nasr City", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Accounting/Finance | Analyst/Research,Analysis | Accounting | Financial | Communication skills | Commerce | CFA | Data | Data Analysis | English | Finance | Financial Analysis | Reporting,Analyzing the extracted information from the financial statements | Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams | Assigning Targets and setting plans for the teams according to the business needs | Prepare and deliver the necessary training needed for new comers | Supporting the new comers and teams on daily basis to ensure the process is implemented | Testing the data inserted in the system and reporting any issue occurred in the process | Assisting the Financial Analysis Manager in daily technical tasks | Reporting to the Finance Manager the operation progress on a weekly basis,"Bachelor degree of English Commerce is a Must | Gender: Male or female | Maximum age to apply: 28-30 | Excellent English Command | CFA Certificate is Preferable or “On Going” | Must have experience in Financial Analysis from 3-5 years | Strong Communication skills, Researching skills, data gathering, data analysis, financial statements, must meeting the deadline, reporting skills, leadership skills"
Junior Financial Data Analyst,Full Time,Z2 Data,"
Nasr City", Cairo,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Accounting/Finance | Analyst/Research,Analysis | Accounting | Financial Analysis | Financial Statements | Commerce | Communication skills | Data | Data Analysis | English | English commerce | Finance | Financial,Analyzing the extracted information from the financial statements | Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams | Supporting the new comers and teams on daily basis to ensure the process is implemented | Testing the data inserted in the system and reporting any issue occurred in the process | Assisting the Financial Analysis Manager in daily technical tasks | Reporting to the Finance Manager the operation progress on a weekly basis,"Bachelor degree of English Commerce is a Must | Gender: Male or female | Maximum age to apply: 28-30 | Excellent English Command | Strong Communication skills, Researching skills, data gathering, data analysis, financial statements, must meeting the deadline, reporting skills, leadership skills"
Data Analyst - Banha,Full Time,Z2 Data,"
Banha", Qalubia,0 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Business Development | Analyst/Research,Analysis | Commerce | Computer Science | Data Analysis | English | MS Office | Information Technology (IT),"Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data | Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects | Support others in the daily use of data systems and ensure adherence to legal and company standards | Assist with reports and data extraction when needed | Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.) | Ensure digital databases and archives are protected from security breaches and data losses | Troubleshoot data-related problems and authorize maintenance or modifications",A Graduate of Faculty of commerce | Very good understanding of English | Very good in MS office package | Males or Female only
Junior Data Analyst,Full Time,Z2 Data,"
Nasr City", Cairo,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Analyst/Research,Data Analysis | Analysis | Commerce | Computer Science | Information Technology (IT) | English | MS Office,"Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data | Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects | Support others in the daily use of data systems and ensure adherence to legal and company standards | Assist with reports and data extraction when needed | Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.) | Ensure digital databases and archives are protected from security breaches and data losses | Troubleshoot data-related problems and authorize maintenance or modifications",A Graduate of Faculty of commerce | Very good understanding of English | Very good in MS office package | Males or Female
Data Analyst,Full Time,Arma Foods,"
New Cairo", Cairo,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research,Data Analysis | Analysis | Computer Science | Information Technology (IT) | Reporting | Power BI | IT | analytical | Data | Engineering | English | Python | SQL | Tableau,"Develop the data analytics methods to collect relevant data from different sources in order to meet the needs of business growth | Analyze and solve consumers’ queries by providing information on complex processes and the related policies, referring to others where necessary for interpretation of data | Translate business questions into learning plans and then develop and conduct research studies to collect data to develop insights | Make sure that there is effective communication of market and consumer data | Communicate findings, through data visualization, with concerned business teams to develop decision-making based on the data and insights available | Deal with departments’ leaders to identify opportunities & strengths for better process improvements, recommend system modifications, and develop policies | Use different statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts | Prepare reports for stakeholders to help them make the right decisions and solve big issues in the right way","Degree in Business, Technology, Engineering, or a related field | 3 to 5 years of experience in business analysis & data analysis | Excellent Command of English | Experience in using SAP system is a must | Good Knowledge at Sales BUZZ | IT background | High Command of report generating software like Power BI, Tableau or SSRS | Good Knowledge of analytic/programming languages like SQL, Python or R | Experience with Business Process& Task Management tools e.g., Click Up, Trello, Monday...etc | Excellent analytical & reporting skills"
Mid Senior Data Analyst,Full Time,Worex,"
Maadi", Cairo,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,Data Analysis | Data Analyst | Information Technology (IT) | Big Data | Administration | Business Administration,"Track, collect, and interpret data, then analyze results using statistical techniques | Deliver dashboards, analytics & Reports migrations | Identify, analyze and interpret trends or patterns in complex data set | Provide insights and make recommendations based on data analysis | Prepare and deliver an insights-based Weekly, Monthly, Quarterly & Annually Social Media Business | Review & Report with data from Social Media Analytics dashboards, Microsoft Power BI , Google Analytics and similar platforms to present actionable insights in a visually appealing format | Aggregate data collected from Clients' social accounts with the goal of identifying trends and insights","3+ years in a data analyst role at least | Perfect in using Excel Power Query, Microsoft Power BI, Odoo CRM, and Oracle CRM ( Eloqua, Right Now … etc) | Expert-level proficiency with Excel and PowerPoint | Experience with Google Analytics and Data Visualization tools | Ability to collaborate effectively and work as part of a team | Strong attention to detail | Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives | Collaborative in nature with a passion for developing relationships | Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment | Bachelor’s Degree in Business Administration or Business Informatics is a plus"
