,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
0,Mid Senior Data Analyst,Maadi,Cairo,Worex,Full Time,Experienced,3+ Yrs of Exp,Data Analysis | Data Analyst | Information Technology (IT) | Big Data | Administration | Business Administration,https://wuzzuf.net/jobs/p/0T6a4KDMsFNn-Mid-Senior-Data-Analyst-Worex-Cairo-Egypt?o=1&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
1,Junior Data Analyst,Maadi,Cairo,Worex,Full Time,Entry Level,1 - 2 Yrs of Exp,Analyst | Data Analyst | Data Analysis | Information Technology (IT) | Analysis,https://wuzzuf.net/jobs/p/iq5jLz08Y7Fb-Junior-Data-Analyst-Worex-Cairo-Egypt?o=2&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
2,Senior Data Analyst - Business Intelligence,Maadi,Cairo,Confidential,Full Time,Experienced,3 - 5 Yrs of Exp,Analyst | Business Administration | business | BI | Project Management | Data Analyst | Information Technology (IT),https://wuzzuf.net/jobs/p/FdG6WamryKOU-Senior-Data-Analyst---Business-Intelligence-Cairo-Egypt?o=3&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
3,E-Commerce & Marketing Data Analyst,New Cairo,Cairo,Confidential,Full Time,Experienced,3 - 6 Yrs of Exp,Market Research | Data Analysis | Analysis | Marketing | E-Marketing | Social Media | E-Commerce,https://wuzzuf.net/jobs/p/jzNIjX873nvy-E-Commerce-Marketing-Data-Analyst-Cairo-Egypt?o=4&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
4,Data Analyst| MIS,Maadi,Cairo,GlobeMed Egypt,Full Time,Experienced,2 - 5 Yrs of Exp,MIS | Data Analytics | SAS | SQL | Tableau | Analysis | Database,https://wuzzuf.net/jobs/p/UZjhvK3rVYOC-Data-Analyst-MIS-GlobeMed-Egypt-Cairo-Egypt?o=5&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
5,Data Analyst,New Cairo,Cairo,Arma Foods,Full Time,Experienced,3 - 5 Yrs of Exp,Data Analysis | Analysis | Computer Science | Information Technology (IT) | Reporting | Power BI | IT | analytical,https://wuzzuf.net/jobs/p/3ZTNoLhqBc6T-Data-Analyst-Arma-Foods-Cairo-Egypt?o=6&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
6,Data Analyst,Sheikh Zayed,Giza,Spark Systems,Full Time,Entry Level,1 - 2 Yrs of Exp,Analysis | business | BI | Computer Science | Power BI | Software | Reporting,https://wuzzuf.net/jobs/p/1vD8UNEXx8ia-Data-Analyst-Spark-Systems-Giza-Egypt?o=7&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
7,Data Analyst,Nozha,Cairo,GPS,Full Time,Experienced,3 - 5 Yrs of Exp,Analysis | Data Analysis | Reporting | Computer Science | English | MS Office | Information Technology (IT),https://wuzzuf.net/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=8&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
8,Business Data Analyst,Smart Village,Giza,Fawry Plus,Full Time,Entry Level,1 - 3 Yrs of Exp,business | Analyst | Business Analysis | Data Analyst | Analysis | Data Analysis | English | Information Technology (IT) | Computer Science,https://wuzzuf.net/jobs/p/R8iqlBsI38Af-Business-Data-Analyst-Fawry-Plus-Giza-Egypt?o=9&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
9,Senior Digital Data Analyst (Remote Job),New Cairo,Cairo,Mindfield,Full Time | Work From Home,Experienced,3 - 5 Yrs of Exp,Social Media | Digital Marketing | Data Analysis | Planning | Marketing | Google Analytics | Computer Science | Business Administration,https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=10&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
